2023-01-29 23:28:32,885 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2023-01-29 23:28:32,944 [     59]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-201.6668.121, 08 Apr 2020 20:39) 
2023-01-29 23:28:32,945 [     60]   INFO -        #com.intellij.idea.Main - OS: Windows 10 (10.0, amd64) 
2023-01-29 23:28:32,945 [     60]   INFO -        #com.intellij.idea.Main - JRE: 11.0.6+8-b765.25 (JetBrains s.r.o) 
2023-01-29 23:28:32,946 [     61]   INFO -        #com.intellij.idea.Main - JVM: 11.0.6+8-b765.25 (OpenJDK 64-Bit Server VM) 
2023-01-29 23:28:32,946 [     61]   INFO -        #com.intellij.idea.Main - JVM Args: -Didea.auto.reload.plugins=true -Didea.classpath.index.enabled=false -Didea.config.path=C:\Users\thars\IdeaProjects\Gradianto\build\idea-sandbox\config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=C:\Users\thars\IdeaProjects\Gradianto\build\idea-sandbox\plugins -Didea.required.plugins.id=com.thvardhan.gradianto -Didea.system.path=C:\Users\thars\IdeaProjects\Gradianto\build\idea-sandbox\system -Xms256m -Xmx512m -Dfile.encoding=windows-1252 -Duser.country=IN -Duser.language=en -Duser.variant -ea 
2023-01-29 23:28:32,947 [     62]   INFO -        #com.intellij.idea.Main - Locale=en_IN JNU=Cp1252 file.encoding=windows-1252 
2023-01-29 23:28:32,952 [     67]   INFO - ntellij.idea.ApplicationLoader - CPU cores: 20; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@4c2f7894[Running, parallelism = 20, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@81edf79 
2023-01-29 23:28:33,450 [    565]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 544 ms 
2023-01-29 23:28:33,454 [    569]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2023-01-29 23:28:33,596 [    711]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-groovy.xml 
2023-01-29 23:28:33,597 [    712]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-detection-groovy.xml 
2023-01-29 23:28:33,659 [    774]   INFO - llij.ide.plugins.PluginManager - Plugin com.intellij.java misses optional descriptor profiler-java.xml 
2023-01-29 23:28:33,715 [    830]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: IDEA CORE (201.6668.121), com.intellij.platform.images (201.6668.121), JetBrains Repository Search (201.6668.121), Subversion (201.6668.121), XPathView + XSLT (201.6668.121), XSLT Debugger (201.6668.121), Smali Support (201.6668.121), Configuration Script (201.6668.121), Copyright (201.6668.121), Java (201.6668.121), Bytecode Viewer (201.6668.121), Git (201.6668.121), ChangeReminder (201.6668.121), Next File Prediction (201.6668.121), JUnit (201.6668.121), Task Management (201.6668.121), GitHub (201.6668.121), IntelliLang (201.6668.121), TestNG (201.6668.121), Code Coverage for Java (201.6668.121), Markdown (201.6668.121), Java IDE Customization (201.6668.121), Java Stream Debugger (201.6668.121), Eclipse Interoperability (201.6668.121), Java Bytecode Decompiler (201.6668.121), Gradle (201.6668.121), macOS Light Theme (201.6668.121), Windows 10 Light Theme (201.6668.121), Properties (201.6668.121), Ant (201.6668.121), Groovy (201.6668.121), Maven (201.6668.121), Gradle-Java (201.6668.121), Gradle-Maven (201.6668.121), Java Internationalization (201.6668.121), Kotlin (1.3.71-release-IJ2020.1-1), UI Designer (201.6668.121), Plugin DevKit (201.6668.121), JavaFX (201.6668.121), Resource Bundle Editor (201.6668.121), Machine Learning Code Completion (201.6668.121), Mercurial (201.6668.121), EditorConfig (201.6668.121), Terminal (201.6668.121), Android (10.3.6 RC 1), Shell Script (201.6668.121), TextMate bundles (201.6668.121), YAML (201.6668.121), Grazie (201.6668.121), Settings Repository (201.6668.121) 
2023-01-29 23:28:33,715 [    830]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Gradianto (4.5) 
2023-01-29 23:28:35,233 [   2348]   WARN - j.internal.DebugAttachDetector - Unable to start DebugAttachDetector, please add `--add-exports java.base/jdk.internal.vm=ALL-UNNAMED` to VM options 
2023-01-29 23:28:35,260 [   2375]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63343 
